1630416600,733,740.39,726.44,735.72,20855436,16336860.45
1630503000,734.08,741.99,731.2701,734.09,13204335,16146944.85
1630589400,734.5,740.97,730.54,732.39,12796739,16140799.95
1630675800,732.2494,734,724.2,733.57,15271045,16123199.75
1631021400,740,760.2,739.26,752.92,20039825,16389423.55
1631107800,761.58,764.45,740.7733,753.87,18793036,16657460.1
1631194200,753.41,762.1,751.6301,754.86,14077731,16871318.75
1631280600,759.6,762.61,734.5201,736.27,15184170,16746442.95
1631539800,740.2143,744.78,708.85,743,22952482,17057493.7
1631626200,742.57,754.47,736.4,744.49,18524881,16828572.6
1631712600,745,756.86,738.36,755.83,15357685,16410392.9
1631799000,752.83,758.91,747.61,756.99,13923393,16089093.8
1631885400,757.15,761.04,750,759.49,28204176,16783628.3
1632144600,734.5577,742,718.6249,730.17,24757652,17279417.65
1632231000,734.79,744.7399,730.44,739.38,16330723,17082710.85
1632317400,743.5263,753.6699,739.12,751.94,15126272,17184870.9
1632403800,755,758.2,747.92,753.64,11947527,17149969.15
1632490200,745.89,774.8,744.56,774.39,21373022,17557905.65
1632749400,773.12,799,769.31,791.36,28070657,18269750.35
1632835800,787.2,795.64,766.1801,777.56,25381422,18608610.45
1632922200,779.8,793.5,770.68,781.31,20942877,18612982.5
1633008600,781,789.1305,775,775.48,17955961,18850563.8
1633095000,778.4,780.78,763.59,775.22,17031414,19062297.55
1633354200,796.5,806.9699,776.12,781.53,30483341,19822912.35
1633440600,784.7962,797.31,774.2,780.59,18432625,19742552.35
1633527000,776.2,786.66,773.22,782.75,14632768,19534538.95
1633613400,785.46,805,783.38,793.61,19195782,19790441.5
1633699800,796.21,796.38,780.91,785.49,16738604,19868163.2
1633959000,787.65,801.24,785.5,791.94,14200322,19430555.2
1634045400,800.93,812.32,796.57,805.72,22020040,19605313.15
1634131800,810.47,815.41,805.78,811.08,14120075,19543432.65
1634218200,815.49,820.25,813.3501,818.32,12247170,19459621.5
1634304600,823.7384,843.21,822.35,843.03,18924567,18995641.05
1634563800,851.79,875.26,851.47,870.11,24207244,18968120.65
1634650200,877.53,877.95,862.51,864.27,17381128,19020640.9
1634736600,865.35,869.49,857.38,865.8,14032052,18965929.9
1634823000,856,900,855.5046,894,31481454,19942626.25
1634909400,895.5,910,890.96,909.68,22880835,20018016.9
1635168600,950.53,1045.02,944.2,1024.86,62852099,21757089
1635255000,1024.69,1094.94,1001.44,1018.43,62414968,23608766.3
1635341400,1039.66,1070.88,1030.78,1037.86,38526459,24487945.4
1635427800,1068.305,1081,1054.2,1077.04,27213173,24950806
1635514200,1081.86,1115.21,1073.205,1114,29918417,25595156.15
1635773400,1145,1209.75,1118.66,1208.59,56048716,26873424.9
1635859800,1159.355,1208.59,1146,1172,42737797,28088683.5
1635946200,1177.33,1215.39,1152.62,1213.86,34628519,29088471.05
1636032600,1234.41,1243.49,1217,1229.91,25397410,29398552.45
1636119000,1228,1239.87,1208,1222.09,21628812,29643062.85
1636381800,1149.785,1197,1133,1162.94,33445715,30605332.5
1636468200,1173.6,1174.5,1011.52,1023.5,59105836,32459622.3
1636554600,1010.41,1078.1,987.31,1067.95,42802722,33893754.65
1636641000,1102.77,1104.97,1054.68,1063.51,22396568,34401224.55
1636727400,1047.5,1054.5,1019.2,1033.42,25573148,34733653.6
1636986600,1017.63,1031.98,978.6,1013.39,34775649,35262073.85
1637073000,1003.31,1057.1999,1002.18,1054.73,26542359,35720135.4
1637159400,1063.51,1119.64,1055.5,1089.01,31445365,36590801.05
1637245800,1106.55,1112,1075.02,1096.38,20898930,36061674.85
1637332200,1098.87,1138.7199,1092.7,1137.06,21642258,35999746
1637591400,1162.33,1201.95,1132.43,1156.87,33072509,34510766.5
1637677800,1167.51,1180.4999,1062.7,1109.03,36171700,33198603.1
1637764200,1080.39,1132.77,1062,1116,22560238,32400292.05
1637937000,1099.47,1108.7827,1081,1081.92,11680890,31623677.9
1638196200,1100.99,1142.67,1100.19,1136.99,19464467,31100980.4
1638282600,1144.37,1168,1118,1144.76,27092038,29653146.5
1638369000,1160.695,1172.8399,1090.76,1095,22934698,28662991.55
1638455400,1099.06,1113,1056.65,1084.6,24371623,28150146.75
1638541800,1084.79,1090.5753,1000.21,1014.97,30773995,28418976
1638801000,1001.51,1021.64,950.5,1009.01,27221037,28698587.25
1638887400,1044.2,1057.6739,1026.81,1051.75,18694857,27961044.35
1638973800,1052.71,1072.38,1033.0001,1068.96,13968790,25704192.05
1639060200,1060.64,1062.49,1002.36,1003.8,19812832,24554697.55
1639146600,1008.75,1020.9797,982.53,1017.03,19888122,24429275.25
1639405800,1001.09,1005,951.42,966.41,26198502,24460542.95
1639492200,945,966.41,930,958.51,23602090,23901865
1639578600,953.21,978.7499,928.2501,975.99,25056410,23827567.55
1639665000,994.5,994.98,921.85,926.92,27590483,23634823.45
1639751400,914.77,960.6599,909.0401,932.57,33626754,24271214.65
1640010600,910.7,921.6884,893.39,899.94,18826671,24130435.3
1640097000,916.87,939.5,886.12,938.53,23839305,23668775.1
1640183400,965.66,1015.6599,957.05,1008.87,31211362,23420758.2
1640269800,1006.8,1072.9767,997.56,1067,30904429,23837967.75
1640615400,1073.67,1117,1070.7152,1093.94,23715273,24439686.9
1640701800,1109.49,1118.9999,1078.42,1088.47,20107969,24471862
1640788200,1098.64,1104,1064.14,1086.19,18718015,24053160.85
1640874600,1061.33,1095.55,1053.15,1070.34,15680313,23690441.6
1640961000,1073.4444,1081.9999,1054.59,1056.78,13577875,23150754.2
1641220200,1147.75,1201.07,1136.04,1199.78,34895349,23356821.9
1641306600,1189.55,1208,1123.05,1149.59,33416086,23666574.35
1641393000,1146.65,1170.34,1081.0101,1088.12,26706599,24067161.45
1641479400,1077,1088,1020.5,1064.7,30112158,24874329.85
1641565800,1080.37,1080.9299,1010,1026.96,28054916,25286434.05
1641825000,1000,1059.1,980,1058.12,30604959,25822275.9
1641911400,1053.67,1075.85,1038.82,1064.4,22021070,25613404.3
1641997800,1078.85,1114.84,1072.5901,1106.22,27913005,25828950.05
1642084200,1109.065,1115.6,1026.5391,1031.56,32403264,26196292.75
1642170600,1019.88,1052,1013.3788,1049.61,24308137,26032175.45
1642516200,1026.605,1070.7899,1016.06,1030.51,22329803,25467327.9
1642602600,1041.705,1054.6699,995,995.65,25147496,25783369.15
1642689000,1009.73,1041.66,994,996.27,23496248,25766216.3
1642775400,996.34,1004.55,940.5,943.9,34472009,25929248.65
1643034600,904.76,933.5131,851.47,930,50791714,26923612.9
1643121000,914.2,951.26,903.21,918.4,28849531,27178784.4
